Dato,1 USD,1 EUR,100 DKK,1 GBP,100 SEK
2018-01-02,8,1018000000000008,9,7748000000000008,131,31999999999999,10,9887,99,459999999999994
2018-01-03,8,1044999999999998,9,7439999999999998,130,88999999999999,10,992800000000001,99,180000000000007
2018-01-04,8,0940999999999992,9,7654999999999994,131,16999999999999,10,9598,99,420000000000002
2018-01-05,8,0877999999999997,9,7417999999999996,130,83000000000001,10,9603,99,079999999999998
2018-01-08,8,0833999999999993,9,6783000000000001,129,97,10,9467,98,590000000000003
2018-01-09,8,1054999999999993,9,6715,129,87,10,9567,98,400000000000006
2018-01-10,8,0427,9,6448,129,50999999999999,10,8772,98,310000000000002
2018-01-11,8,0497999999999994,9,6735000000000007,129,88999999999999,10,8599,98,510000000000005
2018-01-12,7,9583000000000004,9,6590000000000007,129,66999999999999,10,854900000000001,98,209999999999994
2018-01-15,7,8772000000000002,9,6707999999999998,129,81999999999999,10,860799999999999,98,349999999999994
2018-01-16,7,8746999999999998,9,6308000000000007,129,28999999999999,10,838200000000001,98,049999999999997
2018-01-17,7,8849,9,6219999999999999,129,21000000000001,10,864000000000001,97,760000000000005
2018-01-18,7,8474000000000004,9,6013000000000002,128,91999999999999,10,8848,97,670000000000002
2018-01-19,7,8533999999999997,9,6242999999999999,129,27000000000001,10,891500000000001,97,870000000000005
2018-01-22,7,8620000000000001,9,6222999999999992,129,25999999999999,10,9239,97,849999999999994
2018-01-23,7,8684000000000003,9,6379999999999999,129,47999999999999,10,9735,97,900000000000006
2018-01-24,7,7942999999999998,9,6274999999999995,129,31,11,042899999999999,97,920000000000002
2018-01-25,7,7260999999999997,9,5858000000000008,128,77000000000001,11,013400000000001,97,629999999999995
2018-01-26,7,6917999999999997,9,5655000000000001,128,52000000000001,10,9527,97,599999999999994
2018-01-29,7,7186000000000003,9,5548000000000002,128,38,10,8651,97,670000000000002
2018-01-30,7,6989000000000001,9,5627999999999993,128,50999999999999,10,875500000000001,97,75
2018-01-31,7,6760000000000002,9,5619999999999994,128,49000000000001,10,877000000000001,97,930000000000007
2018-02-01,7,6816000000000004,9,5704999999999991,128,59,10,9352,97,629999999999995
2018-02-02,7,6578999999999997,9,5663,128,53,10,8894,97,390000000000001
2018-02-05,7,7256999999999998,9,6107999999999993,129,12,10,8513,97,730000000000004
2018-02-06,7,8680000000000003,9,7004999999999999,130,33000000000001,10,913500000000001,98,299999999999997
2018-02-07,7,8308999999999997,9,6617999999999995,129,81,10,8957,98
2018-02-08,7,9055999999999997,9,6859999999999999,130,15000000000001,11,068099999999999,97,870000000000005
2018-02-09,7,9836,9,7982999999999993,131,63,11,041600000000001,98,530000000000001
2018-02-12,7,9486999999999997,9,7475000000000005,130,91,11,0017,98,269999999999996
2018-02-13,7,899,9,7417999999999996,130,78,10,953799999999999,98,019999999999996
2018-02-14,7,8674999999999997,9,7148000000000003,130,41999999999999,10,910600000000001,97,829999999999998
2018-02-15,7,7923999999999998,9,7349999999999994,130,68000000000001,10,9801,98,150000000000006
2018-02-16,7,7671999999999999,9,6809999999999992,129,97999999999999,10,9017,97,650000000000006
2018-02-19,7,782,9,6575000000000006,129,66999999999999,10,901300000000001,97,400000000000006
2018-02-20,7,8349000000000002,9,6683000000000003,129,81999999999999,10,9658,96,989999999999995
